day,daylength,hours,minutes,seconds
1-1,21579,5,59,39
1-2,21700,6,1,40
1-3,21831,6,3,51
1-4,21972,6,6,12
1-5,22121,6,8,41
1-6,22280,6,11,20
1-7,22448,6,14,8
2-1,28676,7,57,56
2-2,28979,8,2,59
2-3,29283,8,8,3
2-4,29590,8,13,10
2-5,29898,8,18,18
2-6,30209,8,23,29
2-7,30521,8,28,41
3-1,37644,10,27,24
3-2,37973,10,32,53
3-3,38303,10,38,23
3-4,38633,10,43,53
3-5,38964,10,49,24
3-6,39294,10,54,54
3-7,39625,11,0,25
4-1,47889,13,18,9
4-2,48219,13,23,39
4-3,48549,13,29,9
4-4,48879,13,34,39
4-5,49209,13,40,9
4-6,49538,13,45,38
4-7,49868,13,51,8
5-1,57653,16,0,53
5-2,57967,16,6,7
5-3,58280,16,11,20
5-4,58592,16,16,32
5-5,58901,16,21,41
5-6,59209,16,26,49
5-7,59516,16,31,56
6-1,66064,18,21,4
6-2,66256,18,24,16
6-3,66441,18,27,21
6-4,66617,18,30,17
6-5,66785,18,33,5
6-6,66945,18,35,45
6-7,67096,18,38,16
7-1,67594,18,46,34
7-2,67481,18,44,41
7-3,67358,18,42,38
7-4,67225,18,40,25
7-5,67083,18,38,3
7-6,66932,18,35,32
7-7,66773,18,32,53
8-1,60748,16,52,28
8-2,60454,16,47,34
8-3,60158,16,42,38
8-4,59859,16,37,39
8-5,59558,16,32,38
8-6,59256,16,27,36
8-7,58952,16,22,32
9-1,51015,14,10,15
9-2,50691,14,4,51
9-3,50367,13,59,27
9-4,50042,13,54,2
9-5,49718,13,48,38
9-6,49393,13,43,13
9-7,49069,13,37,49
10-1,41259,11,27,39
10-2,40933,11,22,13
10-3,40608,11,16,48
10-4,40282,11,11,22
10-5,39957,11,5,57
10-6,39631,11,0,31
10-7,39306,10,55,6
11-1,31269,8,41,9
11-2,30957,8,35,57
11-3,30646,8,30,46
11-4,30337,8,25,37
11-5,30030,8,20,30
11-6,29724,8,15,24
11-7,29420,8,10,20
12-1,23128,6,25,28
12-2,22932,6,22,12
12-3,22744,6,19,4
12-4,22563,6,16,3
12-5,22391,6,13,11
12-6,22227,6,10,27
12-7,22072,6,7,52