day,daylength,hours,minutes,seconds,time
1-1,34640,9,37,20,9:37:20
1-2,34678,9,37,58,9:37:58
1-3,34720,9,38,40,9:38:40
1-4,34766,9,39,26,9:39:26
1-5,34814,9,40,14,9:40:14
1-6,34866,9,41,6,9:41:06
1-7,34921,9,42,1,9:42:01
1-8,34979,9,42,59,9:42:59
1-9,35041,9,44,1,9:44:01
1-10,35105,9,45,5,9:45:05
1-11,35172,9,46,12,9:46:12
1-12,35242,9,47,22,9:47:22
1-13,35315,9,48,35,9:48:35
1-14,35391,9,49,51,9:49:51
1-15,35470,9,51,10,9:51:10
1-16,35551,9,52,31,9:52:31
1-17,35635,9,53,55,9:53:55
1-18,35722,9,55,22,9:55:22
1-19,35811,9,56,51,9:56:51
1-20,35902,9,58,22,9:58:22
1-21,35996,9,59,56,9:59:56
1-22,36092,10,1,32,10:01:32
1-23,36190,10,3,10,10:03:10
1-24,36291,10,4,51,10:04:51
1-25,36394,10,6,34,10:06:34
1-26,36498,10,8,18,10:08:18
1-27,36605,10,10,5,10:10:05
1-28,36714,10,11,54,10:11:54
1-29,36824,10,13,44,10:13:44
1-30,36936,10,15,36,10:15:36
1-31,37050,10,17,30,10:17:30
2-1,37166,10,19,26,10:19:26
2-2,37283,10,21,23,10:21:23
2-3,37402,10,23,22,10:23:22
2-4,37523,10,25,23,10:25:23
2-5,37644,10,27,24,10:27:24
2-6,37768,10,29,28,10:29:28
2-7,37892,10,31,32,10:31:32
2-8,38018,10,33,38,10:33:38
2-9,38145,10,35,45,10:35:45
2-10,38273,10,37,53,10:37:53
2-11,38402,10,40,2,10:40:02
2-12,38532,10,42,12,10:42:12
2-13,38664,10,44,24,10:44:24
2-14,38796,10,46,36,10:46:36
2-15,38929,10,48,49,10:48:49
2-16,39063,10,51,3,10:51:03
2-17,39198,10,53,18,10:53:18
2-18,39334,10,55,34,10:55:34
2-19,39470,10,57,50,10:57:50
2-20,39608,11,0,8,11:00:08
2-21,39746,11,2,26,11:02:26
2-22,39884,11,4,44,11:04:44
2-23,40023,11,7,3,11:07:03
2-24,40163,11,9,23,11:09:23
2-25,40304,11,11,44,11:11:44
2-26,40445,11,14,5,11:14:05
2-27,40586,11,16,26,11:16:26
2-28,40728,11,18,48,11:18:48
3-1,40870,11,21,10,11:21:10
3-2,41013,11,23,33,11:23:33
3-3,41156,11,25,56,11:25:56
3-4,41300,11,28,20,11:28:20
3-5,41443,11,30,43,11:30:43
3-6,41588,11,33,8,11:33:08
3-7,41732,11,35,32,11:35:32
3-8,41876,11,37,56,11:37:56
3-9,42021,11,40,21,11:40:21
3-10,42166,11,42,46,11:42:46
3-11,42311,11,45,11,11:45:11
3-12,42457,11,47,37,11:47:37
3-13,42602,11,50,2,11:50:02
3-14,42748,11,52,28,11:52:28
3-15,42893,11,54,53,11:54:53
3-16,43039,11,57,19,11:57:19
3-17,43185,11,59,45,11:59:45
3-18,43330,12,2,10,12:02:10
3-19,43476,12,4,36,12:04:36
3-20,43622,12,7,2,12:07:02
3-21,43768,12,9,28,12:09:28
3-22,43913,12,11,53,12:11:53
3-23,44059,12,14,19,12:14:19
3-24,44204,12,16,44,12:16:44
3-25,44350,12,19,10,12:19:10
3-26,44495,12,21,35,12:21:35
3-27,44641,12,24,1,12:24:01
3-28,44786,12,26,26,12:26:26
3-29,44931,12,28,51,12:28:51
3-30,45075,12,31,15,12:31:15
3-31,45220,12,33,40,12:33:40
4-1,45364,12,36,4,12:36:04
4-2,45508,12,38,28,12:38:28
4-3,45652,12,40,52,12:40:52
4-4,45795,12,43,15,12:43:15
4-5,45939,12,45,39,12:45:39
4-6,46081,12,48,1,12:48:01
4-7,46224,12,50,24,12:50:24
4-8,46366,12,52,46,12:52:46
4-9,46507,12,55,7,12:55:07
4-10,46648,12,57,28,12:57:28
4-11,46789,12,59,49,12:59:49
4-12,46929,13,2,9,13:02:09
4-13,47069,13,4,29,13:04:29
4-14,47208,13,6,48,13:06:48
4-15,47346,13,9,6,13:09:06
4-16,47484,13,11,24,13:11:24
4-17,47621,13,13,41,13:13:41
4-18,47758,13,15,58,13:15:58
4-19,47893,13,18,13,13:18:13
4-20,48028,13,20,28,13:20:28
4-21,48163,13,22,43,13:22:43
4-22,48296,13,24,56,13:24:56
4-23,48429,13,27,9,13:27:09
4-24,48561,13,29,21,13:29:21
4-25,48692,13,31,32,13:31:32
4-26,48822,13,33,42,13:33:42
4-27,49011,13,36,51,13:35:51
4-28,49079,13,37,59,13:37:59
4-29,49206,13,40,6,13:40:06
4-30,49332,13,42,12,13:42:12
5-1,49457,13,44,17,13:44:17
5-2,49580,13,46,20,13:46:20
5-3,49703,13,48,23,13:48:23
5-4,49824,13,50,24,13:50:24
5-5,49943,13,52,23,13:52:23
5-6,50062,13,54,22,13:54:22
5-7,50179,13,56,19,13:56:19
5-8,50294,13,58,14,13:58:14
5-9,50408,14,0,8,14:00:08
5-10,50520,14,2,0,14:02:00
5-11,50631,14,3,51,14:03:51
5-12,50740,14,5,40,14:05:40
5-13,50847,14,7,27,14:07:27
5-14,50952,14,9,12,14:09:12
5-15,51056,14,10,56,14:10:56
5-16,51158,14,12,38,14:12:38
5-17,51257,14,14,17,14:14:17
5-18,51355,14,15,55,14:15:55
5-19,51451,14,17,31,14:17:31
5-20,51544,14,19,4,14:19:04
5-21,51636,14,20,36,14:20:36
5-22,51725,14,22,5,14:22:05
5-23,51812,14,23,32,14:23:32
5-24,51897,14,24,57,14:24:57
5-25,51979,14,26,19,14:26:19
5-26,52059,14,27,39,14:27:39
5-27,52137,14,28,57,14:28:57
5-28,52211,14,30,11,14:30:11
5-29,52284,14,31,24,14:31:24
5-30,52353,14,32,33,14:32:33
5-31,52420,14,33,40,14:33:40
6-1,52485,14,34,45,14:34:45
6-2,52546,14,35,46,14:35:46
6-3,52605,14,36,45,14:36:45
6-4,52661,14,37,41,14:37:41
6-5,52713,14,38,33,14:38:33
6-6,52763,14,39,23,14:39:23
6-7,52810,14,40,10,14:40:10
6-8,52854,14,40,54,14:40:54
6-9,52895,14,41,35,14:41:35
6-10,52933,14,42,13,14:42:13
6-11,52967,14,42,47,14:42:47
6-12,52999,14,43,19,14:43:19
6-13,53027,14,43,47,14:43:47
6-14,53052,14,44,12,14:44:12
6-15,53074,14,44,34,14:44:34
6-16,53093,14,44,53,14:44:53
6-17,53108,14,45,8,14:45:08
6-18,53120,14,45,20,14:45:20
6-19,53129,14,45,29,14:45:29
6-20,53135,14,45,35,14:45:35
6-21,53137,14,45,37,14:45:37
6-22,53136,14,45,36,14:45:36
6-23,53132,14,45,32,14:45:32
6-24,53125,14,45,25,14:45:25
6-25,53114,14,45,14,14:45:14
6-26,53100,14,45,0,14:45:00
6-27,53083,14,44,43,14:44:43
6-28,53063,14,44,23,14:44:23
6-29,53039,14,43,59,14:43:59
6-30,53012,14,43,32,14:43:32
7-1,52982,14,43,2,14:43:02
7-2,52949,14,42,29,14:42:29
7-3,52913,14,41,53,14:41:53
7-4,52874,14,41,14,14:41:14
7-5,52831,14,40,31,14:40:31
7-6,52786,14,39,46,14:39:46
7-7,52738,14,38,58,14:38:58
7-8,52686,14,38,6,14:38:06
7-9,52632,14,37,12,14:37:12
7-10,52575,14,36,15,14:36:15
7-11,52515,14,35,15,14:35:15
7-12,52453,14,34,13,14:34:13
7-13,52388,14,33,8,14:33:08
7-14,52320,14,32,0,14:32:00
7-15,52249,14,30,49,14:30:49
7-16,52176,14,29,36,14:29:36
7-17,52101,14,28,21,14:28:21
7-18,52023,14,27,3,14:27:03
7-19,51943,14,25,43,14:25:43
7-20,51860,14,24,20,14:24:20
7-21,51775,14,22,55,14:22:55
7-22,51687,14,21,27,14:21:27
7-23,51598,14,19,58,14:19:58
7-24,51506,14,18,26,14:18:26
7-25,51413,14,16,53,14:16:53
7-26,51317,14,15,17,14:15:17
7-27,51219,14,13,39,14:13:39
7-28,51119,14,11,59,14:11:59
7-29,51018,14,10,18,14:10:18
7-30,50914,14,8,34,14:08:34
7-31,50809,14,6,49,14:06:49
8-1,50702,14,5,2,14:05:02
8-2,50594,14,3,14,14:03:14
8-3,50484,14,1,24,14:01:24
8-4,50372,13,59,32,13:59:32
8-5,50259,13,57,39,13:57:39
8-6,50144,13,55,44,13:55:44
8-7,50028,13,53,48,13:53:48
8-8,49911,13,51,51,13:51:51
8-9,49792,13,49,52,13:49:52
8-10,49672,13,47,52,13:47:52
8-11,49551,13,45,51,13:45:51
8-12,49429,13,43,49,13:43:49
8-13,49306,13,41,46,13:41:46
8-14,49181,13,39,41,13:39:41
8-15,49056,13,37,36,13:37:36
8-16,48929,13,35,29,13:35:29
8-17,48802,13,33,22,13:33:22
8-18,48673,13,31,13,13:31:13
8-19,48544,13,29,4,13:29:04
8-20,48413,13,26,53,13:26:53
8-21,48282,13,24,42,13:24:42
8-22,48150,13,22,30,13:22:30
8-23,48018,13,20,18,13:20:18
8-24,47884,13,18,4,13:18:04
8-25,47750,13,15,50,13:15:50
8-26,47616,13,13,36,13:13:36
8-27,47480,13,11,20,13:11:20
8-28,47344,13,9,4,13:09:04
8-29,47208,13,6,48,13:06:48
8-30,47070,13,4,30,13:04:30
8-31,46933,13,2,13,13:02:13
9-1,46795,12,59,55,12:59:55
9-2,46656,12,57,36,12:57:36
9-3,46517,12,55,17,12:55:17
9-4,46378,12,52,58,12:52:58
9-5,46238,12,50,38,12:50:38
9-6,46098,12,48,18,12:48:18
9-7,45957,12,45,57,12:45:57
9-8,45816,12,43,36,12:43:36
9-9,45675,12,41,15,12:41:15
9-10,45534,12,38,54,12:38:54
9-11,45392,12,36,32,12:36:32
9-12,45250,12,34,10,12:34:10
9-13,45108,12,31,48,12:31:48
9-14,44965,12,29,25,12:29:25
9-15,44823,12,27,3,12:27:03
9-16,44680,12,24,40,12:24:40
9-17,44537,12,22,17,12:22:17
9-18,44394,12,19,54,12:19:54
9-19,44251,12,17,31,12:17:31
9-20,44108,12,15,8,12:15:08
9-21,43964,12,12,44,12:12:44
9-22,43821,12,10,21,12:10:21
9-23,43677,12,7,57,12:07:57
9-24,43534,12,5,34,12:05:34
9-25,43390,12,3,10,12:03:10
9-26,43246,12,0,46,12:00:46
9-27,43103,11,58,23,11:58:23
9-28,42959,11,55,59,11:55:59
9-29,42816,11,53,36,11:53:36
9-30,42672,11,51,12,11:51:12
10-1,42529,11,48,49,11:48:49
10-2,42386,11,46,26,11:46:26
10-3,42243,11,44,3,11:44:03
10-4,42100,11,41,40,11:41:40
10-5,41957,11,39,17,11:39:17
10-6,41815,11,36,55,11:36:55
10-7,41672,11,34,32,11:34:32
10-8,41531,11,32,11,11:32:11
10-9,41389,11,29,49,11:29:49
10-10,41247,11,27,27,11:27:27
10-11,41106,11,25,6,11:25:06
10-12,40966,11,22,46,11:22:46
10-13,40825,11,20,25,11:20:25
10-14,40685,11,18,5,11:18:05
10-15,40545,11,15,45,1:15:45
10-16,40406,11,13,26,11:13:26
10-17,40267,11,11,7,11:11:07
10-18,40129,11,8,49,11:08:49
10-19,39991,11,6,31,11:06:31
10-20,39854,11,4,14,11:04:14
10-21,39718,11,1,58,11:01:58
10-22,39582,10,59,42,10:59:42
10-23,39446,10,57,26,10:57:26
10-24,39312,10,55,12,10:55:12
10-25,39178,10,52,58,10:52:58
10-26,39044,10,50,44,10:50:44
10-27,38912,10,48,32,10:48:32
10-28,38781,10,46,21,10:46:21
10-29,38650,10,44,10,10:44:10
10-30,38520,10,42,0,10:42:00
10-31,38392,10,39,52,10:39:52
11-1,38264,10,37,44,10:37:44
11-2,38137,10,35,37,10:35:37
11-3,38012,10,33,32,10:33:32
11-4,37888,10,31,28,10:31:28
11-5,37765,10,29,25,10:29:25
11-6,37643,10,27,23,10:27:23
11-7,37523,10,25,23,10:25:23
11-8,37404,10,23,24,10:23:24
11-9,37286,10,21,26,10:21:26
11-10,37170,10,19,30,10:19:30
11-11,37056,10,17,36,10:17:36
11-12,36943,10,15,43,10:15:43
11-13,36832,10,13,52,10:13:52
11-14,36722,10,12,2,10:12:02
11-15,36615,10,10,15,10:10:15
11-16,36509,10,8,29,10:08:29
11-17,36405,10,6,45,10:06:45
11-18,36303,10,5,3,10:05:03
11-19,36203,10,3,23,10:03:23
11-20,36105,10,1,45,10:01:45
11-21,36009,10,0,9,10:00:09
11-22,35916,9,58,36,9:58:36
11-23,35825,9,57,5,9:57:05
11-24,35736,9,55,36,9:55:36
11-25,35650,9,54,10,9:54:10
11-26,35566,9,52,46,9:52:46
11-27,35484,9,51,24,9:51:24
11-28,35406,9,50,6,9:50:06
11-29,35330,9,48,50,9:48:50
11-30,35256,9,47,36,9:47:36
12-1,35186,9,46,26,9:46:26
12-2,35178,9,46,18,9:45:18
12-3,35054,9,44,14,9:44:14
12-4,34992,9,43,12,9:43:12
12-5,34934,9,42,14,9:42:14
12-6,34878,9,41,18,9:41:18
12-7,34826,9,40,26,9:40:26
12-8,34777,9,39,37,9:39:37
12-9,34731,9,38,51,9:38:51
12-10,34688,9,38,8,9:38:08
12-11,34649,9,37,29,9:37:29
12-12,34613,9,36,53,9:36:53
12-13,34580,9,36,20,9:36:20
12-14,34551,9,35,51,9:35:51
12-15,34526,9,35,26,9:35:26
12-16,34503,9,35,3,9:35:03
12-17,34485,9,34,45,9:34:45
12-18,34469,9,34,29,9:34:29
12-19,34458,9,34,18,9:34:18
12-20,34450,9,34,10,9:34:10
12-21,34445,9,34,5,9:34:05
12-22,34444,9,34,4,9:34:04
12-23,34447,9,34,7,9:34:07
12-24,34453,9,34,13,9:34:13
12-25,34463,9,34,23,9:34:23
12-26,34476,9,34,36,9:34:36
12-27,34493,9,34,53,9:34:53
12-28,34514,9,35,14,9:35:14
12-29,34538,9,35,38,9:35:38
12-30,34565,9,36,5,9:36:05
12-31,34596,9,36,36,9:36:36